index,model_name,to_lower,vocab_size,max_seq_length,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,cnn,False,10000,128,True,50,0.781048806,75.242049,0.8461775749999999,74.4532759,0.9086760509999999,71.8024559,0.7193967631191761,0.7193967631191761,0.7193967631191761,0.4261362607962975,0.3416275692326658,0.4261362607962975,0.6884370052091369,0.7193967631191761,0.6889957376478814,0.0014504143705790693,0.05069626135021252,0.007520538030522729,0.22502762252589462,0.01397679289511843,0.5111257920182876,0.004977453857507678,0.004977453857507678,0.00497745385750769,0.031773858242575594,0.020012895038021096,0.031773858242575594,0.008300562611223222,0.004977453857507678,0.0067166032579876085
1,cnn,True,10000,128,True,50,0.786276584,75.2781882,0.8371983250000001,74.73310239999999,0.913838681,71.77594780000001,0.7190044139283962,0.7190044139283962,0.7190044139283963,0.4472161918777909,0.3342685402754739,0.4472161918777909,0.6909537575047473,0.7190044139283962,0.6882180986138369,0.0017342274466439391,0.06023574659581282,0.006582073408813205,0.19127470999713406,0.016596204140342474,0.51952014108722,0.005056559021317634,0.005056559021317634,0.005056559021317672,0.03447899937565521,0.018732234363591827,0.03447899937565521,0.008639376393405252,0.005056559021317634,0.006036822995657184
2,text cnn,False,10000,128,True,50,0.82082555,73.70427659999999,0.7868010579999999,74.77198539999999,0.8561389939999999,72.1916862,0.7231486022560077,0.7231486022560077,0.7231486022560077,0.4506024545916752,0.337551917171324,0.4506024545916752,0.6947278170681142,0.7231486022560077,0.6932628179544083,0.003544792426146647,0.0702078503733301,0.00435922098013396,0.19721994600061726,0.01454918793941221,0.47262241643804237,0.004796926843590419,0.004796926843590419,0.004796926843590429,0.03134109065925545,0.012802944983735036,0.03134109065925545,0.007359633558918661,0.004796926843590419,0.007973400578942335
3,text cnn,True,10000,128,True,50,0.8108739070000001,74.03380259999999,0.758807464,75.33308459999999,0.8500711359999998,72.67717630000001,0.7281510544384502,0.7281510544384502,0.7281510544384502,0.41521672840963164,0.3247607475983537,0.41521672840963164,0.6968644653092108,0.7281510544384502,0.6995777380426607,0.003463415942701148,0.0806034755580951,0.0024130832835431906,0.22825483511111092,0.012218610396152307,0.3668715984525418,0.0035857433193957422,0.0035857433193957422,0.003585743319395749,0.024633039280157823,0.009635757911007438,0.024633039280157823,0.003308134040625347,0.0035857433193957422,0.00503807189295694
4,dcnn,False,10000,128,True,50,0.8592721900000001,72.7164942,0.8043995670000001,74.12637679999999,0.8674446190000001,71.8652358,0.7198381559588032,0.7198381559588032,0.7198381559588032,0.42271231022629585,0.3275261481899371,0.42271231022629585,0.6880782001488093,0.7198381559588032,0.688810469680043,0.003108048590142864,0.07945521151469463,0.00394689712634013,0.196618509116172,0.006796831480137468,0.28554321311291375,0.0029181085544995934,0.0029181085544995934,0.0029181085544995934,0.023442870144012137,0.013662165874376369,0.023442870144012137,0.008807877654341552,0.0029181085544995934,0.0040241124994370965
5,dcnn,True,10000,128,True,50,0.8432225499999999,73.23612549999999,0.77969004,74.54284759999999,0.8609879069999999,72.32805420000001,0.7246444335458557,0.7246444335458557,0.724644433545856,0.4262615337125875,0.3311309699641306,0.4262615337125875,0.6960447889662272,0.7246444335458557,0.6945203082346204,0.001847722294724557,0.0429731564254527,0.0028653792799015207,0.1929681095853234,0.01188675164027591,0.7060647307034135,0.007106582854835818,0.007106582854835818,0.007106582854835817,0.03701187306957654,0.014710128212556604,0.03701187306957654,0.010618540475705877,0.007106582854835818,0.00925969351925876
6,rcnn,False,10000,128,True,50,0.969396429,72.65693759999999,0.922348079,74.12586359999999,0.989944954,71.03166680000001,0.7118440411966651,0.7118440411966651,0.7118440411966651,0.31482279249499456,0.25643239402521556,0.31482279249499456,0.6687282031723646,0.7118440411966651,0.6732052601193395,0.017461073120715966,0.16921042347404833,0.019566889218130948,0.3214494964612003,0.015661947033058708,0.5310069265831628,0.005486231145317567,0.005486231145317567,0.005486231145317566,0.03451335230361709,0.010924285139684143,0.03451335230361709,0.009644490103971826,0.005486231145317567,0.008690464766858147
7,rcnn,True,10000,128,True,50,0.9586604189999999,72.9446553,0.8969895179999998,74.459952,0.9533929209999998,71.9234774,0.7207699852869054,0.7207699852869054,0.7207699852869054,0.3539829042667711,0.2695353776525344,0.3539829042667711,0.6794351088489201,0.7207699852869054,0.6845956452656716,0.02357536977821058,0.1964795218546519,0.022135782347693526,0.29392730453180566,0.021259937982665105,0.4648104506943792,0.004594962133665869,0.004594962133665869,0.004594962133665883,0.020131429142975756,0.009961522718782753,0.020131429142975756,0.006794464056766226,0.004594962133665869,0.006070484376280995
8,lstm,False,10000,128,True,50,0.871273991,73.9754948,0.8469103160000001,74.84204600000001,0.952158167,72.21749390000001,0.7235654732712113,0.7235654732712113,0.7235654732712113,0.35140961036292595,0.28125999384091294,0.35140961036292595,0.6847848891832389,0.7235654732712113,0.6891559436956426,0.00680457361369124,0.10691360979760879,0.005606277480162986,0.14754542224609263,0.017556325094428085,0.6473588233075225,0.006371533637770863,0.006371533637770863,0.006371533637770843,0.01964156730731289,0.02093841816438308,0.01964156730731289,0.0056571705136531075,0.006371533637770863,0.00908175449746803
9,lstm,True,10000,128,True,50,0.8607030269999999,74.2995458,0.838681924,75.24159890000001,0.936717708,72.7417002,0.7288621873467387,0.7288621873467387,0.7288621873467387,0.40572255108872496,0.3042388323063271,0.40572255108872496,0.6938920453157251,0.7288621873467387,0.6961503348043347,0.01028399020478276,0.1391925023194707,0.014065531325650268,0.19804051637225809,0.022248390331277554,0.5734458000611167,0.005725319427538832,0.005725319427538832,0.005725319427538789,0.018880799776916646,0.014376282578091832,0.018880799776916646,0.007378539533488739,0.005725319427538832,0.006807331273389941
10,gru,False,10000,128,True,50,0.9510521519999999,72.7864415,0.9088284019999999,74.28377040000001,0.954522141,71.39578679999998,0.7153751839136832,0.7153751839136832,0.7153751839136832,0.34105791694852405,0.27049954291145895,0.34105791694852405,0.6735098481188295,0.7153751839136832,0.677625631308559,0.0032088038226444873,0.06102756558082864,0.008887572686588581,0.39741712516453076,0.015460685923362335,0.6669092587104584,0.006510532839376904,0.006510532839376904,0.006510532839376904,0.03681999141412353,0.01138278850020519,0.03681999141412353,0.008288444734276283,0.006510532839376904,0.00825109736127295
11,gru,True,10000,128,True,50,0.9539004499999999,72.8676734,0.9073608009999999,74.2570238,0.9467622279999999,71.8251247,0.7198136341343795,0.7198136341343795,0.7198136341343796,0.3722806008585277,0.2804667081402976,0.3722806008585277,0.6809383046273577,0.7198136341343795,0.684098595125335,0.004638333954267492,0.07592189473868101,0.008640711842546354,0.17417867075621085,0.009975838194530936,0.358989827104415,0.0036246615143150237,0.0036246615143150237,0.0036246615143150297,0.02374766920949109,0.007431452116961705,0.02374766920949109,0.007648686815133003,0.0036246615143150237,0.005658556282257149
