index,model_name,use_punct,vocab_size,max_seq_length,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
0,bi gru,False,10000,128,50,1.12310698,70.23361080000001,1.04307619,71.99598510000001,0.9936921780000001,70.7980111,0.7101250307000001,0.7101250307000001,0.7101250307000001,0.3442397006,0.25925614040000006,0.3442397006,0.6731184021000001,0.7101250307000001,0.6711099326,0.011508002997218937,0.2244210181663986,0.01698922376668024,0.5288817744090835,0.009118502295663359,0.7629793589930467,0.007656542988203022,0.007656542988203022,0.007656542988203022,0.021302146491709695,0.006551125334003685,0.021302146491709695,0.006060233855782143,0.007656542988203022,0.011151039669663944
1,bi gru,True,10000,128,50,1.0529907600000001,71.56320179999999,0.993736714,72.9191568,0.949278848,71.5491559,0.7171120373,0.7171120373,0.7171120373,0.37370100900000003,0.28052791009999994,0.37370100900000003,0.6783711208000001,0.7171120373,0.6803254128,0.01118879044939364,0.2270838460372467,0.01385314625029612,0.4603660268341562,0.010818122995045337,0.5010604467621009,0.005141765759598174,0.005141765759598174,0.005141765759598174,0.021896071264972564,0.00908240200663749,0.021896071264972564,0.005447037142968248,0.005141765759598174,0.007093707844692691
2,bi lstm,False,10000,128,50,0.938850064,73.16961979999999,0.9271579149999999,73.9105208,1.0065110330000002,71.4690744,0.7168913949,0.7168913949,0.7168913949,0.2947673411999999,0.2544840594,0.2947673411999999,0.6715802471,0.7168913949,0.6784997731000002,0.013701815860582745,0.26483774946005545,0.011389264575725306,0.22580750773553163,0.022247078627818415,0.552241379024544,0.005462131927289263,0.005462131927289263,0.005462131927289263,0.026920452545190855,0.008776618541072555,0.026920452545190855,0.005379464811735979,0.005462131927289263,0.007447184283030097
3,bi lstm,True,10000,128,50,0.8671388400000002,74.575581,0.8794045350000002,74.8794198,0.955779833,72.2832047,0.7243442018,0.7243442018,0.7243442018,0.36265457219999997,0.2971058864,0.36265457219999997,0.6887845128000001,0.7243442018,0.6913588839999998,0.011832424467981552,0.21041566909545917,0.012557596333204687,0.21890409378172487,0.021500334626938056,0.7515156154796695,0.007768242462601139,0.007768242462601139,0.007768242462601139,0.02090891661749578,0.018821520189197232,0.02090891661749578,0.007390949918742483,0.007768242462601139,0.010052658192752044
4,cnn,False,10000,128,50,0.811374592,75.07395600000001,0.9322474299999998,73.4915048,0.9644064689999998,70.59944709999999,0.7079921548000001,0.7079921548000001,0.7079921548000001,0.43810349769999996,0.3251567007,0.43810349769999996,0.6777589585,0.7079921548000001,0.675448329,0.001413270017621059,0.051493123586232474,0.012599319022167625,0.24302816330019897,0.01186062760903623,0.38327125781544374,0.003752779354058493,0.003752779354058493,0.003752779354058493,0.04519008779838534,0.0196567083332636,0.04519008779838534,0.006727786603044433,0.003752779354058493,0.005465368228188422
5,cnn,True,10000,128,50,0.7602453140000001,76.1007183,0.879155223,74.4597645,0.914504545,71.52653140000001,0.716523658,0.716523658,0.716523658,0.4352435189,0.3444869959,0.4352435189,0.6900484991,0.716523658,0.6857228261,0.0019299252969146666,0.07168205995001517,0.01333418656590651,0.2330426686649853,0.01752783967533889,0.5421157995306112,0.005333777707854487,0.005333777707854487,0.005333777707854487,0.032597831991918395,0.014592581538792544,0.032597831991918395,0.008883084893042669,0.005333777707854487,0.006693704663368837
6,dcnn,False,10000,128,50,0.8725685610000001,72.8128254,0.812301003,73.9599365,0.897696629,71.81722199999999,0.7200539347000001,0.7200539347000001,0.7200539347000001,0.4241832839,0.3290298541,0.4241832839,0.6894040613,0.7200539347000001,0.6885970133000001,0.0017064459152444159,0.04643299619212163,0.005538854113159834,0.1768433919723229,0.007056509697587271,0.29284086829274014,0.003005784851394168,0.003005784851394168,0.003005784851394168,0.028039035325927608,0.013633211350949697,0.028039035325927608,0.006634426665736166,0.003005784851394168,0.004211849203803346
7,dcnn,True,10000,128,50,0.810561359,73.98189,0.763793608,75.0176118,0.849003615,72.79801610000001,0.7295415541999999,0.7295415541999999,0.7295415541999999,0.42969488589999993,0.34025905819999996,0.42969488589999993,0.6989473722999999,0.7295415541999999,0.7022197579,0.002325029250499151,0.06726644149120199,0.0034916092348746394,0.12389318147841703,0.009364951968690093,0.4940898358725319,0.005039906339033368,0.005039906339033368,0.005039906339033368,0.025308341787280367,0.012963153112988884,0.025308341787280367,0.008143486145841046,0.005039906339033368,0.005578222757734056
8,gru,False,10000,128,50,1.06006819,71.14873709999999,0.999929897,72.90817030000001,0.9882068900000001,70.9542625,0.7116940427999999,0.7116940427999999,0.7116940427999999,0.34276756429999994,0.2638775302,0.34276756429999994,0.672102341,0.7116940427999999,0.674750837,0.0067492347249232705,0.18584690122454978,0.009837419417383395,0.32656940066531015,0.013387839888197878,0.8027954005021375,0.00802599092187439,0.00802599092187439,0.00802599092187439,0.024853766998578334,0.013336355148235716,0.024853766998578334,0.007938959016112865,0.00802599092187439,0.011379271621302686
9,gru,True,10000,128,50,1.001522734,72.3621272,0.9578970339999999,73.69741069999999,0.9510069229999999,71.43603669999999,0.7158372149999999,0.7158372149999999,0.7158372149999999,0.37540934910000007,0.2762195701,0.37540934910000007,0.6793110404,0.7158372149999999,0.6788444052000001,0.009676216046457128,0.14449433518445928,0.014701832530639213,0.24285366404942973,0.011445309431379435,0.8964795269936063,0.008944781993052344,0.008944781993052344,0.008944781993052344,0.024596442403323718,0.01628801929722028,0.024596442403323718,0.008850285928751402,0.008944781993052344,0.012190264061442952
10,lstm,False,10000,128,50,0.9070192359999998,73.7767686,0.9119143920000001,74.33954259999999,0.9832727450000001,71.54329340000001,0.7175533218999999,0.7175533218999999,0.7175533218999999,0.3173120642999999,0.2592863486,0.3173120642999999,0.6751989180000001,0.7175533218999999,0.679560536,0.013148812923693652,0.20107307752003548,0.02061766775470215,0.21037160793499413,0.015657835455259523,0.6730715644169755,0.006750089611554705,0.006750089611554705,0.006750089611554705,0.033340281816046126,0.014746825997188425,0.033340281816046126,0.007274635967043387,0.006750089611554705,0.009520355934877824
11,lstm,True,10000,128,50,0.843778099,75.0429414,0.8683342210000001,75.25197599999998,0.9372516299999999,72.33968309999999,0.7248835497,0.7248835497,0.7248835497,0.3757856332,0.3052563719,0.3757856332,0.6898698422999999,0.7248835497,0.692714208,0.015067285244322808,0.14406744117037265,0.018805589433165553,0.17724217124224806,0.014985020299715546,0.5414211574432732,0.005451117310306545,0.005451117310306545,0.005451117310306545,0.021372073672380133,0.013344468052257955,0.021372073672380133,0.005379660544666788,0.005451117310306545,0.0055355239186670345
12,rcnn,False,10000,128,50,1.0381643727272727,71.77551672727272,0.9737372981818182,73.37377245454546,1.0104418818181815,70.83732663636364,0.7102899551818183,0.7102899551818183,0.7102899551818183,0.31219595172727266,0.25536124827272727,0.31219595172727266,0.6681277346363637,0.7102899551818183,0.6728147968181818,0.015429227253112228,0.3766226772830008,0.0080774491214898,0.2620494863697976,0.02073621917210645,0.8131031214621247,0.008181151764287136,0.008181151764287136,0.008181151764287136,0.019369996380866308,0.011122175960267724,0.019369996380866308,0.007209174472718878,0.008181151764287136,0.010414174795581998
13,rcnn,True,10000,128,50,1.0255302144444445,72.73193555555555,0.9779933700000001,74.06164411111112,0.9660098455555555,71.99815688888889,0.7215003677777776,0.7215003677777776,0.7215003677777776,0.3678236867777778,0.2724744038888889,0.3678236867777778,0.6834265191111112,0.7215003677777776,0.6828533442222224,0.09513709892102883,0.40895221570988305,0.10308879902088001,0.4517664346018398,0.013683422536027957,0.5794231572550042,0.0058002050503583235,0.0058002050503583235,0.0058002050503583235,0.02838951078485516,0.015485149458849514,0.02838951078485516,0.00593543400491986,0.0058002050503583235,0.007268284168436886
14,text cnn,False,10000,128,50,0.81928014,74.0256431,0.791545541,74.64312709999999,0.902899243,71.78190359999999,0.7195881344999999,0.7195881344999999,0.7195881344999999,0.42485256590000003,0.32880435389999996,0.42485256590000003,0.6887005921,0.7195881344999999,0.6907854749000001,0.00209371708679933,0.05335718878662219,0.0048995138131280504,0.16191095654741852,0.007790762034284332,0.49772026314168133,0.005080816248516981,0.005080816248516981,0.005080816248516981,0.026064502087521882,0.02438265850959793,0.026064502087521882,0.00286014298129128,0.005080816248516981,0.006545319867266011
15,text cnn,True,10000,128,50,0.7721024199999998,75.020819,0.750357718,75.6110116,0.8543440459999999,72.7905289,0.7292718803999999,0.7292718803999999,0.7292718803999999,0.46556487,0.3540404782,0.46556487,0.6981079549,0.7292718803999999,0.7014287519,0.0035935105871773357,0.07964191588325639,0.004974066164499396,0.2534922139541526,0.006944919985025331,0.33133303334542336,0.00336153825881447,0.00336153825881447,0.00336153825881447,0.03759779421284255,0.0217159271293166,0.03759779421284255,0.005698623027907491,0.00336153825881447,0.003837504294193975
