'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
elmo_1,elmo,10000,128,True,1024,elmo,elmo,0.6828986,0.77142555,0.73738825,0.76033884,0.83700734,0.722819,0.7244422652610935,0.7244422652610935,0.7244422652610936,0.48603553409778044,0.42855694746187617,0.48603553409778044,0.7004727234339061,0.7244422652610935,0.7029381325789673
elmo_2,elmo,10000,128,True,1024,elmo,elmo,0.687812,0.76994336,0.7441682,0.75584704,0.84336185,0.7252604,0.7268938465310125,0.7268938465310125,0.7268938465310125,0.5107878248574885,0.411065159942893,0.5107878248574885,0.7039990945405523,0.7268938465310125,0.7004145992277144
elmo_3,elmo,10000,128,True,1024,elmo,elmo,0.6817745,0.772205,0.73631823,0.7590848,0.8171972,0.7330729,0.7347389065947536,0.7347389065947536,0.7347389065947536,0.46720782945960637,0.41584731707734646,0.46720782945960637,0.7045969214750154,0.7347389065947536,0.7092750464978526
elmo_4,elmo,10000,128,True,1024,elmo,elmo,0.68185323,0.77218544,0.73395896,0.7593618,0.8291198,0.7379883,0.7393969110075999,0.7393969110075999,0.7393969110075999,0.48839367168678155,0.39140808470883187,0.48839367168678155,0.7198299717534736,0.7393969110075999,0.7142528350893849
elmo_5,elmo,10000,128,True,1024,elmo,elmo,0.68121123,0.7711378,0.7318769,0.75973517,0.8413906,0.7347493,0.7367001716106889,0.7367001716106889,0.7367001716106889,0.44655600287679764,0.39861179530352114,0.44655600287679764,0.7069602355731874,0.7367001716106889,0.7119952265474606
elmo_6,elmo,10000,128,True,1024,elmo,elmo,0.6827989,0.771761,0.72816586,0.761582,0.83166397,0.7266927,0.7286099534199558,0.7286099534199558,0.7286099534199558,0.46626483494041737,0.40852244224197976,0.46626483494041737,0.7043231015251779,0.7286099534199558,0.7047194697785459
elmo_7,elmo,10000,128,True,1024,elmo,elmo,0.6839732,0.77095085,0.72879714,0.7623398,0.8185135,0.73771155,0.7393969110075999,0.7393969110075999,0.7393969110075999,0.47825543107275853,0.40943985301578717,0.47825543107275853,0.7103214790491778,0.7393969110075999,0.7145001684428253
elmo_8,elmo,10000,128,True,1024,elmo,elmo,0.6835627,0.7712627,0.72644657,0.7615711,0.8368904,0.7315755,0.7335131159597941,0.7335131159597941,0.7335131159597941,0.4712364064048474,0.3871557308820685,0.4712364064048474,0.708308547492804,0.7335131159597941,0.709020445784058
elmo_9,elmo,10000,128,True,1024,elmo,elmo,0.68287295,0.77109414,0.74074984,0.7583256,0.82776356,0.7327962,0.7347389065947536,0.7347389065947536,0.7347389065947536,0.4704927469194659,0.37828407435416406,0.4704927469194659,0.7050562268161036,0.7347389065947536,0.7117181732299116
elmo_10,elmo,10000,128,True,1024,elmo,elmo,0.681005,0.77130073,0.73883545,0.76174384,0.82306653,0.7362467,0.7379259622456484,0.7379259622456484,0.7379259622456484,0.5068315269503844,0.40775377763612813,0.5068315269503844,0.7132342148626591,0.7379259622456484,0.7158226847030932
use_1,use,10000,128,True,512,use,use,0.75360423,0.7525005,0.7242037,0.7636047,0.83075047,0.73924154,0.7403775435155675,0.7403775435155675,0.7403775435155675,0.5186884820952782,0.39939115141229325,0.5186884820952782,0.7204112126341062,0.7403775435155675,0.7173667578946973
use_2,use,10000,128,True,512,use,use,0.7538718,0.7519575,0.7257556,0.76306325,0.83425856,0.7421712,0.7433194410394705,0.7433194410394705,0.7433194410394703,0.4774715694910233,0.3883727447642397,0.4774715694910233,0.7212281254831137,0.7433194410394705,0.7206287358474789
use_3,use,10000,128,True,512,use,use,0.75288844,0.75250715,0.7228355,0.76419127,0.83393216,0.73387045,0.7349840647217455,0.7349840647217455,0.7349840647217455,0.44519770463330394,0.389517201413216,0.44519770463330394,0.7067654248206295,0.7349840647217455,0.7099141604619323
use_4,use,10000,128,True,512,use,use,0.7537296,0.75285053,0.7320369,0.7627598,0.8312525,0.7345703,0.7359646972297131,0.7359646972297131,0.7359646972297131,0.48445913932444723,0.39902672212979107,0.48445913932444723,0.7109560304845753,0.7359646972297131,0.7115533399057897
use_5,use,10000,128,True,512,use,use,0.7538626,0.75282234,0.7282295,0.760871,0.8376032,0.73875326,0.7398872272615837,0.7398872272615837,0.7398872272615837,0.44304831898965846,0.396938401600983,0.44304831898965846,0.7179164131957859,0.7398872272615837,0.7171293322019036
use_6,use,10000,128,True,512,use,use,0.75362533,0.7527036,0.72771287,0.7610717,0.84390306,0.7328939,0.7340034322137778,0.7340034322137778,0.7340034322137778,0.5215885285351741,0.38794396573680134,0.5215885285351741,0.7205235733682949,0.7340034322137778,0.7118532201972343
use_7,use,10000,128,True,512,use,use,0.7535187,0.7522964,0.7298216,0.7609597,0.83942485,0.73509115,0.736209855356705,0.736209855356705,0.736209855356705,0.4676269914219859,0.4095195035491898,0.4676269914219859,0.7155179464896089,0.736209855356705,0.7117588595218011
use_8,use,10000,128,True,512,use,use,0.7545324,0.7524571,0.7260521,0.76316124,0.8380093,0.73094076,0.7320421671978427,0.7320421671978427,0.7320421671978427,0.45914035558928595,0.39376677752958,0.45914035558928595,0.704450609280718,0.7320421671978427,0.7086524521438201
use_9,use,10000,128,True,512,use,use,0.7528188,0.7529534,0.72982556,0.76001525,0.8452985,0.7316732,0.7327776415788183,0.7327776415788183,0.7327776415788183,0.49275075222611386,0.40220446504188595,0.49275075222611386,0.7149756119916478,0.7327776415788183,0.7063429800747305
use_10,use,10000,128,True,512,use,use,0.75349927,0.75244546,0.727821,0.7606594,0.8393569,0.73142904,0.7325324834518264,0.7325324834518264,0.7325324834518264,0.4747346950329126,0.39077673543264596,0.4747346950329126,0.7109747991055111,0.7325324834518264,0.7086640180011514
nnlm_1,nnlm,10000,128,True,128,nnlm,nnlm,0.8099066,0.7434807,0.8277856,0.73520505,0.9523401,0.6999349,0.7009070850698701,0.7009070850698701,0.7009070850698701,0.403934797273341,0.355238453952427,0.403934797273341,0.6678145756304948,0.7009070850698701,0.6736037286644064
nnlm_2,nnlm,10000,128,True,128,nnlm,nnlm,0.8092712,0.7435051,0.82518613,0.73521286,0.94935954,0.70555013,0.706545721990684,0.706545721990684,0.706545721990684,0.42181184723667414,0.33013503362122687,0.42181184723667414,0.6702167745776518,0.706545721990684,0.6774685399773599
nnlm_3,nnlm,10000,128,True,128,nnlm,nnlm,0.8092327,0.74401784,0.83052117,0.73315907,0.95717627,0.701888,0.7028683500858054,0.7028683500858054,0.7028683500858054,0.4096433268725475,0.3373889020265542,0.4096433268725475,0.6696218291838705,0.7028683500858054,0.6729012469914393
nnlm_4,nnlm,10000,128,True,128,nnlm,nnlm,0.8074282,0.7439378,0.82670766,0.73495615,0.94696504,0.7028646,0.7038489825937729,0.7038489825937729,0.7038489825937729,0.38040817731064863,0.33331418686200837,0.38040817731064863,0.6671451710339826,0.7038489825937729,0.6753433210875174
nnlm_5,nnlm,10000,128,True,128,nnlm,nnlm,0.8083394,0.74352807,0.8265418,0.73387325,0.953126,0.7045736,0.7055650894827163,0.7055650894827163,0.7055650894827163,0.42438510405124635,0.3339680517136382,0.42438510405124635,0.6723191279486037,0.7055650894827163,0.6751416957040267
nnlm_6,nnlm,10000,128,True,128,nnlm,nnlm,0.8092717,0.74317443,0.82757527,0.7343322,0.95651203,0.69969076,0.7006619269428782,0.7006619269428782,0.7006619269428782,0.4050826043078074,0.33704321174414076,0.4050826043078074,0.6652086551691686,0.7006619269428782,0.6712612061631446
nnlm_7,nnlm,10000,128,True,128,nnlm,nnlm,0.8084664,0.7437248,0.82849705,0.7341891,0.9714592,0.6994466,0.7004167688158862,0.7004167688158862,0.7004167688158862,0.4566760676213715,0.35625498762826796,0.4566760676213715,0.6689265458674835,0.7004167688158862,0.6681987991817141
nnlm_8,nnlm,10000,128,True,128,nnlm,nnlm,0.809705,0.7435342,0.8303604,0.73427933,0.94976115,0.701888,0.7028683500858054,0.7028683500858054,0.7028683500858054,0.41683518919161944,0.32294858438382196,0.41683518919161944,0.6688031366537542,0.7028683500858054,0.6729145443736978
nnlm_9,nnlm,10000,128,True,128,nnlm,nnlm,0.8099891,0.7432354,0.82725275,0.7338577,0.96334803,0.6994466,0.7004167688158862,0.7004167688158862,0.7004167688158862,0.3920116949626932,0.3219193947450915,0.3920116949626932,0.6645220774763577,0.7004167688158862,0.6694133901471665
nnlm_10,nnlm,10000,128,True,128,nnlm,nnlm,0.80833757,0.74392384,0.8261261,0.73537,0.9539,0.6970052,0.6979651875459671,0.6979651875459671,0.6979651875459671,0.41868266861327613,0.33064197669064244,0.41868266861327613,0.6679087278691976,0.6979651875459671,0.6693185081187627
mlstm_char_lm_1,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.68974966,0.76205903,0.7689676,0.75282705,0.86236,0.73976237,0.7406227016425595,0.7406227016425595,0.7406227016425595,0.45683912601045523,0.38889430943361103,0.45683912601045523,0.7131599193821352,0.7406227016425595,0.7168821465032502
mlstm_char_lm_2,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.6999606,0.7602747,0.7507717,0.75870985,0.8509525,0.7310872,0.7330227997058103,0.7330227997058103,0.7330227997058104,0.49286930466977263,0.4124692001600916,0.49286930466977263,0.7059030441981341,0.7330227997058103,0.7065518893636531
mlstm_char_lm_3,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.6833136,0.7641199,0.77597725,0.7573936,0.85229135,0.73237306,0.733758274086786,0.733758274086786,0.733758274086786,0.4918319456795496,0.41997416342600963,0.4918319456795496,0.7073575864955408,0.733758274086786,0.7100605250197355
mlstm_char_lm_4,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.6925215,0.762832,0.7592467,0.7594847,0.8456263,0.73038733,0.7320421671978427,0.7320421671978427,0.7320421671978427,0.4928618368777337,0.39521740954135826,0.4928618368777337,0.709047013707251,0.7320421671978427,0.7072819764358399
mlstm_char_lm_5,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.69198895,0.76227677,0.7611102,0.75574124,0.8608009,0.72989905,0.7315518509438588,0.7315518509438588,0.7315518509438588,0.48976332204276396,0.3742698504572674,0.48976332204276396,0.7095347168157907,0.7315518509438588,0.7054917206857595
mlstm_char_lm_6,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.68609947,0.76300335,0.76044226,0.75967765,0.8419146,0.739209,0.7406227016425595,0.7406227016425595,0.7406227016425595,0.5293215431957204,0.4378580097210197,0.5293215431957204,0.7293092930693478,0.7406227016425595,0.723169638864849
mlstm_char_lm_7,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.69156265,0.7615522,0.76174396,0.75935555,0.8248769,0.74827474,0.7494483942142682,0.7494483942142682,0.7494483942142682,0.5292955414161679,0.39449872476951553,0.5292955414161679,0.7250079796265028,0.7494483942142682,0.7268969127194318
mlstm_char_lm_8,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.6915969,0.76195467,0.75733006,0.76091456,0.84093606,0.73487955,0.7357195391027213,0.7357195391027213,0.7357195391027213,0.4986332467001988,0.37029472288342913,0.4986332467001988,0.7174159990086362,0.7357195391027213,0.7102404050592881
mlstm_char_lm_9,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.69787973,0.76068395,0.7521037,0.758657,0.879877,0.73398435,0.736209855356705,0.736209855356705,0.736209855356705,0.5001983235183411,0.34873811392291787,0.5001983235183411,0.7060177621112977,0.736209855356705,0.7072309489399059
mlstm_char_lm_10,mlstm_char_lm,10000,128,True,4096,mlstm_char_lm,mlstm_char_lm,0.6964157,0.76129854,0.77069545,0.75497264,0.83360565,0.7277344,0.7291002696739397,0.7291002696739397,0.7291002696739397,0.4191662059785048,0.33993807607110516,0.4191662059785048,0.7006633939520704,0.7291002696739397,0.7034138620569363
bert_1,bert,10000,128,False,768,bert,bert,0.46093178,0.8458323,1.0363265,0.76705253,0.7571186,0.75748694,0.7592547192939446,0.7592547192939446,0.7592547192939446,0.4833348423639761,0.4354358879693436,0.4833348423639761,0.7345299777792976,0.7592547192939446,0.7382265760553683
bert_2,bert,10000,128,False,768,bert,bert,0.47043958,0.8409877,1.0186529,0.76929766,0.76452595,0.7584635,0.7602353518019123,0.7602353518019123,0.7602353518019123,0.5332309389047494,0.4369475094113579,0.5332309389047494,0.735774618331558,0.7602353518019123,0.7358563645651157
bert_3,bert,10000,128,False,768,bert,bert,0.46821785,0.8431543,0.97416013,0.7719442,0.7546932,0.75507814,0.7565579798970336,0.7565579798970336,0.7565579798970337,0.5205286743343671,0.40920417356641725,0.5205286743343671,0.7358397116821848,0.7565579798970336,0.7301186253858803
bert_4,bert,10000,128,False,768,bert,bert,0.4723173,0.8413945,0.9858005,0.7715117,0.7491114,0.7646647,0.7656288305957343,0.7656288305957343,0.7656288305957342,0.5165136271978573,0.43208253647489303,0.5165136271978573,0.7378864429469477,0.7656288305957343,0.7398989512883435
bert_5,bert,10000,128,False,768,bert,bert,0.47082207,0.84173256,1.0088513,0.77061087,0.7580551,0.76124674,0.7621966168178476,0.7621966168178476,0.7621966168178476,0.5541371868732164,0.43810103300355235,0.5541371868732164,0.7422159642945622,0.7621966168178476,0.7386172857840714
bert_6,bert,10000,128,False,768,bert,bert,0.47219715,0.8407618,1.004438,0.7665391,0.7639652,0.7626139,0.7644030399607747,0.7644030399607747,0.7644030399607747,0.5540887833301036,0.4058078183240318,0.5540887833301036,0.7409779567692634,0.7644030399607747,0.739791612033826
bert_7,bert,10000,128,False,768,bert,bert,0.46323577,0.8444533,1.0239496,0.7671381,0.76839197,0.75385743,0.755332189262074,0.755332189262074,0.755332189262074,0.5009414615789858,0.41977809364398017,0.5009414615789858,0.7295045048326765,0.755332189262074,0.7284140180719071
bert_8,bert,10000,128,False,768,bert,bert,0.46645427,0.8437804,1.0191547,0.76451486,0.75063825,0.7650879,0.7666094631037019,0.7666094631037019,0.7666094631037018,0.5338508226880925,0.43857274231982646,0.5338508226880925,0.7442557200345391,0.7666094631037019,0.7440936032620649
bert_9,bert,10000,128,False,768,bert,bert,0.46388134,0.8457272,1.0067446,0.76938635,0.74867684,0.7636556,0.7648933562147585,0.7648933562147585,0.7648933562147584,0.5169591464226162,0.43086929348052283,0.5169591464226162,0.7385393131399236,0.7648933562147585,0.7433933685423089
bert_10,bert,10000,128,False,768,bert,bert,0.47156453,0.8416721,0.994513,0.76894915,0.73905885,0.76463217,0.7658739887227262,0.7658739887227262,0.7658739887227263,0.5322155630090012,0.42809414476204266,0.5322155630090012,0.740709637574724,0.7658739887227262,0.7421339525358721
